epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33794,2.88459,3.87994,1.17255,0.00208,0.03521,0.00108,0.00032,2.89394,3.78833,1.08965,0,0,0
2,8.23052,2.92011,3.90722,1.21659,0.00208,0.03521,0.0011,0.00035,2.87454,3.77911,1.08183,1.9604e-05,1.9604e-05,1.9604e-05
3,12.6353,2.76592,3.93712,1.21476,0.00333,0.05634,0.00178,0.00042,2.83818,3.77892,1.07014,3.8416e-05,3.8416e-05,3.8416e-05
4,16.1934,2.71397,3.756,1.1036,0.00625,0.10563,0.00347,0.00091,2.79668,3.75931,1.06063,5.6436e-05,5.6436e-05,5.6436e-05
5,19.7881,2.68094,3.66707,1.02253,0.01417,0.23944,0.00892,0.00221,2.79411,3.74042,1.04318,7.3664e-05,7.3664e-05,7.3664e-05
6,23.9529,2.57594,3.4889,1.04035,0.02958,0.5,0.02382,0.00606,2.70806,3.68335,1.01261,9.01e-05,9.01e-05,9.01e-05
7,27.4669,2.52527,3.30665,1.02523,0.04,0.67606,0.04658,0.01218,2.63124,3.63788,0.99096,0.000105744,0.000105744,0.000105744
8,31.2043,2.48589,3.00901,1.00591,0.0475,0.80282,0.0665,0.01947,2.5136,3.58072,0.96409,0.000120596,0.000120596,0.000120596
9,34.6027,2.37489,2.71651,1.02933,0.0475,0.80282,0.0665,0.01947,2.5136,3.58072,0.96409,0.000134656,0.000134656,0.000134656
10,38.3444,2.50694,2.74971,1.00811,0.05083,0.85915,0.07886,0.02598,2.35808,3.51366,0.94154,0.000147924,0.000147924,0.000147924
11,41.8061,2.27762,2.21352,1.00273,0.05083,0.85915,0.07886,0.02598,2.35808,3.51366,0.94154,0.0001604,0.0001604,0.0001604
12,45.2983,2.44337,2.3759,0.9887,0.05333,0.90141,0.08915,0.02948,2.25055,3.463,0.92364,0.000172084,0.000172084,0.000172084
13,48.9378,2.58596,1.99366,1.02815,0.05333,0.90141,0.08915,0.02948,2.25055,3.463,0.92364,0.000182976,0.000182976,0.000182976
14,52.4874,2.54366,1.90093,1.02794,0.0525,0.88732,0.09237,0.02971,2.24189,3.41599,0.91848,0.000193076,0.000193076,0.000193076
15,56.467,2.40489,1.56268,1.13233,0.0525,0.88732,0.09237,0.02971,2.24189,3.41599,0.91848,0.000202384,0.000202384,0.000202384
16,60.0036,2.56679,1.67242,0.98582,0.0525,0.88732,0.09802,0.03112,2.25861,3.35533,0.91578,0.0002109,0.0002109,0.0002109
17,63.5912,2.45187,1.52335,0.99372,0.0525,0.88732,0.09802,0.03112,2.25861,3.35533,0.91578,0.000218624,0.000218624,0.000218624
18,67.0728,2.41662,1.51208,1.0163,0.05125,0.8662,0.0985,0.03333,2.25863,3.29075,0.91009,0.000225556,0.000225556,0.000225556
19,71.0277,2.2194,1.47796,1.09183,0.05125,0.8662,0.0985,0.03333,2.25863,3.29075,0.91009,0.000231696,0.000231696,0.000231696
20,74.5608,2.23218,1.63447,1.02392,0.05083,0.85915,0.09564,0.03097,2.24293,3.24172,0.91079,0.000237044,0.000237044,0.000237044
21,78.1195,2.36933,1.36082,1.06381,0.05083,0.85915,0.09564,0.03097,2.24293,3.24172,0.91079,0.0002416,0.0002416,0.0002416
22,81.5885,2.4039,1.44168,0.99769,0.05042,0.85211,0.11693,0.03843,2.20055,3.19566,0.91259,0.000245364,0.000245364,0.000245364
23,85.6557,2.3392,1.43862,1.05412,0.05042,0.85211,0.11693,0.03843,2.20055,3.19566,0.91259,0.000248336,0.000248336,0.000248336
24,89.2052,2.37144,1.58614,1.05837,0.05042,0.85211,0.11693,0.03843,2.20055,3.19566,0.91259,0.000250516,0.000250516,0.000250516
25,92.6462,2.34532,1.61772,1.08852,0.05208,0.88028,0.13003,0.04272,2.19393,3.12692,0.91509,0.000251904,0.000251904,0.000251904
26,96.094,2.48156,1.32904,0.98498,0.05208,0.88028,0.13003,0.04272,2.19393,3.12692,0.91509,0.0002525,0.0002525,0.0002525
27,100.199,2.39418,1.28205,0.97513,0.05208,0.88028,0.13003,0.04272,2.19393,3.12692,0.91509,0.000252304,0.000252304,0.000252304
28,103.772,2.53545,1.36276,0.98367,0.05333,0.90141,0.14083,0.04808,2.23925,3.08666,0.92053,0.000251316,0.000251316,0.000251316
29,107.409,2.51421,1.24393,0.99375,0.05333,0.90141,0.14083,0.04808,2.23925,3.08666,0.92053,0.000249536,0.000249536,0.000249536
