epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,146.955,2.35778,1.35506,0.94916,0.0475,0.80282,0.07596,0.02279,2.30409,3.2001,0.92009,0.00037625,0.00037625,0.00037625
27,152.907,2.21704,1.30615,0.93724,0.04833,0.8169,0.0747,0.02375,2.29642,3.17028,0.91655,0.000386152,0.000386152,0.000386152
28,158.27,2.27102,1.31185,0.92736,0.04833,0.8169,0.0747,0.02375,2.29642,3.17028,0.91655,0.000395658,0.000395658,0.000395658
29,162.369,2.33542,1.34472,0.95381,0.04917,0.83099,0.07293,0.02464,2.35272,3.12547,0.91988,0.000404768,0.000404768,0.000404768
30,166.196,2.25864,1.34427,0.96421,0.04917,0.83099,0.07293,0.02464,2.35272,3.12547,0.91988,0.000413482,0.000413482,0.000413482
31,170.494,2.1739,1.30581,0.93815,0.055,0.92958,0.10002,0.03353,2.25797,3.04477,0.91363,0.0004218,0.0004218,0.0004218
32,174.126,2.21684,1.37963,1.06447,0.055,0.92958,0.10002,0.03353,2.25797,3.04477,0.91363,0.000429722,0.000429722,0.000429722
33,177.936,2.29131,1.27427,0.92568,0.05625,0.9507,0.14646,0.05182,2.15811,2.96102,0.90899,0.000437248,0.000437248,0.000437248
34,181.532,2.37411,1.22533,0.93468,0.05625,0.9507,0.14646,0.05182,2.15811,2.96102,0.90899,0.000444378,0.000444378,0.000444378
35,185.554,2.19817,1.22883,0.97318,0.05667,0.95775,0.23318,0.07673,2.14814,2.89376,0.9074,0.000451112,0.000451112,0.000451112
36,189.293,2.21313,1.20854,1.00106,0.05667,0.95775,0.23318,0.07673,2.14814,2.89376,0.9074,0.00045745,0.00045745,0.00045745
37,193.462,2.15495,1.18358,0.9909,0.05583,0.94366,0.29512,0.10935,2.1363,2.81727,0.91027,0.000463392,0.000463392,0.000463392
38,197.271,2.0383,1.15462,0.96449,0.05583,0.94366,0.29512,0.10935,2.1363,2.81727,0.91027,0.000468938,0.000468938,0.000468938
39,201.635,2.35667,1.12615,0.97065,0.05625,0.9507,0.40425,0.13363,2.21064,2.76155,0.92002,0.000474088,0.000474088,0.000474088
40,205.397,2.253,1.27656,0.93529,0.05625,0.9507,0.40425,0.13363,2.21064,2.76155,0.92002,0.000478842,0.000478842,0.000478842
41,209.166,2.19539,1.14071,0.97991,0.0575,0.97183,0.44217,0.13097,2.30722,2.74277,0.93249,0.0004832,0.0004832,0.0004832
42,213.202,2.14941,1.32148,0.92453,0.0575,0.97183,0.44217,0.13097,2.30722,2.74277,0.93249,0.000487162,0.000487162,0.000487162
43,217.727,2.15714,1.28266,1.00298,0.05667,0.95775,0.47103,0.13324,2.33511,2.70543,0.94289,0.000490728,0.000490728,0.000490728
44,221.576,2.09749,1.13272,0.9382,0.05667,0.95775,0.47103,0.13324,2.33511,2.70543,0.94289,0.000493898,0.000493898,0.000493898
45,225.479,2.18059,1.28658,0.9918,0.05667,0.95775,0.56905,0.17818,2.21411,2.61546,0.93708,0.000496672,0.000496672,0.000496672
46,229.215,2.11321,1.14482,0.95423,0.05667,0.95775,0.56905,0.17818,2.21411,2.61546,0.93708,0.00049905,0.00049905,0.00049905
47,233.43,2.2162,1.17512,1.03408,0.05708,0.96479,0.64695,0.19671,2.12996,2.5727,0.92245,0.000501032,0.000501032,0.000501032
48,237.19,2.28885,1.15332,1.03883,0.05708,0.96479,0.64695,0.19671,2.12996,2.5727,0.92245,0.000502618,0.000502618,0.000502618
49,240.937,2.13208,1.20695,0.9851,0.05792,0.97887,0.64782,0.19878,2.17218,2.5641,0.93046,0.000503808,0.000503808,0.000503808
50,245.873,2.5078,1.19142,0.93275,0.05792,0.97887,0.64782,0.19878,2.17218,2.5641,0.93046,0.000504602,0.000504602,0.000504602
51,250.02,2.38603,1.15342,0.95479,0.0575,0.97183,0.57645,0.15221,2.37974,2.5979,0.95091,0.000505,0.000505,0.000505
52,254.537,2.29142,1.16391,0.9976,0.0575,0.97183,0.57645,0.15221,2.37974,2.5979,0.95091,0.000505002,0.000505002,0.000505002
53,262.484,2.22693,1.13182,0.95265,0.0575,0.97183,0.57645,0.15221,2.37974,2.5979,0.95091,0.000504608,0.000504608,0.000504608
54,269.726,2.10468,1.16036,0.93406,0.05625,0.9507,0.52582,0.13546,2.52363,2.60243,0.96363,0.000503818,0.000503818,0.000503818
55,277.82,2.20849,1.16765,0.95328,0.05625,0.9507,0.52582,0.13546,2.52363,2.60243,0.96363,0.000502632,0.000502632,0.000502632
56,285.192,2.31971,1.21266,1.02298,0.05625,0.9507,0.52582,0.13546,2.52363,2.60243,0.96363,0.00050105,0.00050105,0.00050105
57,291.476,2.17039,1.21042,1.04539,0.0575,0.97183,0.58367,0.16779,2.4281,2.53542,0.94797,0.000499072,0.000499072,0.000499072
58,295.299,2.13879,1.11309,0.95177,0.0575,0.97183,0.58367,0.16779,2.4281,2.53542,0.94797,0.000496698,0.000496698,0.000496698
59,299.35,2.1454,1.10335,0.90254,0.0575,0.97183,0.58367,0.16779,2.4281,2.53542,0.94797,0.000493928,0.000493928,0.000493928
60,303.482,2.10751,1.16291,0.92935,0.0575,0.97183,0.75835,0.22544,2.23822,2.41961,0.93465,0.000490762,0.000490762,0.000490762
61,308.303,2.21168,1.12484,0.96433,0.0575,0.97183,0.75835,0.22544,2.23822,2.41961,0.93465,0.0004872,0.0004872,0.0004872
62,315.19,2.05907,1.12066,0.96112,0.0575,0.97183,0.75835,0.22544,2.23822,2.41961,0.93465,0.000483242,0.000483242,0.000483242
63,321.229,2.11569,1.09144,0.96878,0.05708,0.96479,0.8703,0.3042,2.07518,2.2705,0.92885,0.000478888,0.000478888,0.000478888
64,325.325,2.11416,1.05593,0.94421,0.05708,0.96479,0.8703,0.3042,2.07518,2.2705,0.92885,0.000474138,0.000474138,0.000474138
65,329.807,2.07678,1.05692,0.95856,0.05708,0.96479,0.8703,0.3042,2.07518,2.2705,0.92885,0.000468992,0.000468992,0.000468992
66,333.898,2.26787,1.0782,0.97814,0.73162,0.90845,0.86599,0.28953,2.10331,2.17823,0.93428,0.00046345,0.00046345,0.00046345
67,338.562,2.18392,1.07739,0.99564,0.73162,0.90845,0.86599,0.28953,2.10331,2.17823,0.93428,0.000457512,0.000457512,0.000457512
68,342.672,2.23953,1.08174,1.01805,0.73162,0.90845,0.86599,0.28953,2.10331,2.17823,0.93428,0.000451178,0.000451178,0.000451178
69,347.684,2.0812,1.0555,0.99561,0.8704,0.88028,0.87638,0.28173,2.13636,2.08766,0.9364,0.000444448,0.000444448,0.000444448
70,352.891,2.23314,1.19314,0.93479,0.8704,0.88028,0.87638,0.28173,2.13636,2.08766,0.9364,0.000437322,0.000437322,0.000437322
71,357.398,2.17936,1.03856,0.92315,0.8704,0.88028,0.87638,0.28173,2.13636,2.08766,0.9364,0.0004298,0.0004298,0.0004298
72,361.72,2.16074,1.15279,0.96847,0.87632,0.79836,0.81359,0.25822,2.20992,2.04366,0.93915,0.000421882,0.000421882,0.000421882
73,365.354,2.07038,1.09459,0.99023,0.87632,0.79836,0.81359,0.25822,2.20992,2.04366,0.93915,0.000413568,0.000413568,0.000413568
74,369.216,2.03704,1.02535,0.97617,0.87632,0.79836,0.81359,0.25822,2.20992,2.04366,0.93915,0.000404858,0.000404858,0.000404858
75,373.139,2.11447,1.01114,0.95803,0.89361,0.70984,0.84406,0.26906,2.17266,1.98205,0.93126,0.000395752,0.000395752,0.000395752
76,377.628,2.04519,1.02679,0.94068,0.89361,0.70984,0.84406,0.26906,2.17266,1.98205,0.93126,0.00038625,0.00038625,0.00038625
77,381.324,2.07108,1.04502,0.93478,0.89361,0.70984,0.84406,0.26906,2.17266,1.98205,0.93126,0.000376352,0.000376352,0.000376352
78,385.205,2.1299,1.1022,0.96797,0.93792,0.74484,0.90936,0.33087,2.05178,1.8984,0.9185,0.000366058,0.000366058,0.000366058
79,388.85,2.07642,1.03971,1.00396,0.93792,0.74484,0.90936,0.33087,2.05178,1.8984,0.9185,0.000355368,0.000355368,0.000355368
80,392.878,2.02864,1.00855,0.93716,0.93792,0.74484,0.90936,0.33087,2.05178,1.8984,0.9185,0.000344282,0.000344282,0.000344282
81,396.651,2.11085,1.0168,0.94474,0.91555,0.76344,0.91579,0.33999,2.01687,1.85733,0.91391,0.0003328,0.0003328,0.0003328
82,400.436,2.04186,0.97841,0.94427,0.91555,0.76344,0.91579,0.33999,2.01687,1.85733,0.91391,0.000320922,0.000320922,0.000320922
83,404.004,2.0957,1.0572,0.95232,0.91555,0.76344,0.91579,0.33999,2.01687,1.85733,0.91391,0.000308648,0.000308648,0.000308648
84,408.418,2.111,1.04913,0.91649,0.93558,0.81825,0.92403,0.32789,2.06727,1.86285,0.91641,0.000295978,0.000295978,0.000295978
85,412.116,2.13545,1.06951,0.98464,0.93558,0.81825,0.92403,0.32789,2.06727,1.86285,0.91641,0.000282912,0.000282912,0.000282912
86,416.909,2.04483,1.01066,0.89577,0.93558,0.81825,0.92403,0.32789,2.06727,1.86285,0.91641,0.00026945,0.00026945,0.00026945
87,420.658,2.10245,1.05029,0.90259,0.93558,0.81825,0.92403,0.32789,2.06727,1.86285,0.91641,0.000255592,0.000255592,0.000255592
88,425.277,2.28614,1.08757,0.95209,0.93065,0.85056,0.89804,0.32893,2.06932,1.80482,0.91704,0.000241338,0.000241338,0.000241338
89,428.877,2.04117,1.06103,0.97366,0.93065,0.85056,0.89804,0.32893,2.06932,1.80482,0.91704,0.000226688,0.000226688,0.000226688
90,432.556,2.07396,1.04273,0.95174,0.93065,0.85056,0.89804,0.32893,2.06932,1.80482,0.91704,0.000211642,0.000211642,0.000211642
91,436.232,2.18562,1.16999,1.06186,0.93065,0.85056,0.89804,0.32893,2.06932,1.80482,0.91704,0.0001962,0.0001962,0.0001962
92,440.557,1.99856,1.05276,0.99102,0.94116,0.92958,0.94628,0.35823,2.00463,1.69146,0.91368,0.000180362,0.000180362,0.000180362
